Date,City,Cows,States,Venue,Tickets sold / Available,Revenue
16-Jun-16,Cincinnati,OH,Ohio,Riverbend Music Center,"16,211 / 20,508","$941,133 [13]"
28-Jun-17,Cuyahoga Falls,OH,Ohio,Blossom Music Center,"20,651 / 20,963","$1,073,705 "
25-Nov-17,Columbus,OH,Ohio,Nationwide Arena,,
4-Jun-18,Cincinnati,OH,Ohio,Riverbend Music Center,"15,351 / 19,836","$918,860 "
20-Jun-18,Cuyahoga Falls,OH,Ohio,Blossom Music Center,"17,116 / 20,147","$1,168,936 "
22-Jul-16,Portland,OR ,Oregon,Moda Center,"8,791 / 10,972","$971,613 [15]"
30-Jun-18,Eugene,OR ,Oregon,Autzen Stadium,"36,436 / 36,436","$1,921,089 "
5-Nov-15,Philadelphia,PA ,Pennsylvania,Wells Fargo Center,"17,863 / 17,863","$1,461,285 [10]"
13-Jul-16,Burgettstown,PA ,Pennsylvania,First Niagara Pavilion,"15,615 / 23,143","$950,169 [15]"
15-Jun-17,Burgettstown,PA ,Pennsylvania,KeyBank Pavilion,"13,514 / 23,472","$689,530 "
16-Nov-17,Philadelphia,PA ,Pennsylvania,Wells Fargo Center,,
18-Nov-15,Nashville,TN ,Tennessee,Bridgestone Arena,"10,082 / 11,760","$690,524 [13]"
12-Jun-16,Manchester,TN ,Tennessee,Great Stage Park,N/A,N/A
13-Jun-16,Manchester,TN ,Tennessee,(Bonnaroo Music Festival),,
1-Dec-17,Dallas,TX,Texas,American Airlines Center,"10,713 / 13,060","$1,188,752 [11]"
2-Dec-17,Austin,TX,Texas,Frank Erwin Center,"11,700 / 12,070","$1,479,555 [12]"
"July 2, 2019[14]",Dallas,TX,Texas,Dos Equis Pavilion,"13,127 / 20,006","$1,214,688 "
7-Jun-17,West Valley City,UT,Utah,USANA Amphitheatre,"12,056 / 20,000","$694,997 "
23-Jun-16,Bristow,VA,Virginia,Jiffy Lube Live,"12,941 / 23,389","$973,368 [13]"
22-Jun-17,Bristow,VA,Virginia,Jiffy Lube Live,"19,137 / 23,313","$1,196,073 "
25-Aug-18,Arrington,VA,Virginia,Lockn' Festival,,
26-Aug-18,Arrington,VA,Virginia,Lockn' Festival,,
26-Jun-19,Bristow,VA,Virginia,Jiffy Lube Live,"17,182 / 23,194","$1,425,802 "
8-Nov-19,Hampton,VA,Virginia,Hampton Coliseum,,
9-Nov-19,Hampton,VA,Virginia,Hampton Coliseum,,
23-Jul-16,George,WA,Washington,The Gorge Amphitheatre,"12,144 / 21,531","$777,667 [15]"
29-Jun-18,George,WA,Washington,The Gorge Amphitheatre,"18,226 / 21,915","$1,226,242 "
7-Jun-19,George,WA,Washington,The Gorge Amphitheatre,"36,956 / 43,893","$2,866,616 "
8-Jun-19,George,WA,Washington,The Gorge Amphitheatre,,
9-Jul-16,East Troy,WI,Wisconsin,Alpine Valley Music Theatre,"41,915 / 71,030","$2,583,858 [15]"
10-Jul-16,East Troy,WI,Wisconsin,Alpine Valley Music Theatre,,
22-Jun-18,East Troy,WI,Wisconsin,Alpine Valley Music Theatre,"50,131 / 71,030","$2,829,045 "
23-Jun-18,East Troy,WI,Wisconsin,Alpine Valley Music Theatre,,
