Date,City,Cows,States,Venue
22-Jun-22,Boulder,CO,Colorado,Folsom Field*
22-Jun-22,Cincinnati,OH,Ohio,Riverbend Music Center
24-Jun-22,Chicago,IL,Illinois,Wrigley Field
25-Jun-22,Chicago,IL,Illinois,Wrigley Field
28-Jun-22,Noblesville,IN,Indiana,Ruoff Music Center
29-Jun-22,Clarkston,MI,Michigan,Pine Knob Music Theatre
1-Jul-22,Bethel,NY,New York,Bethel Woods Center for the Arts
2-Jul-22,Foxborough,MA,Massachusetts,Gillette Stadium
5-Jul-22,Hartford,CT,Connecticut,The XFINITY Theatre
6-Jul-22,Saratoga Springs,NY,New York,SPAC
8-Jul-22,Bristow,VA,Virginia,Jiffy Lube Live
10-Jul-22,Philadelphia,PA,Pennsylvania,Citizens Bank Park
12-Jul-22,Burgettstown,PA,Pennsylvania,The Pavilion at Star Lake
15-Jul-22,New York,NY,New York,Citi Field
16-Jul-22,New York,NY,New York,Citi Field
